pathwayName	entrez	gene_symbol
MAPK6/MAPK4 signaling	27161	AGO2
PTEN Regulation	27161	AGO2
Transcriptional regulation by RUNX1	27161	AGO2
Regulation of RUNX1 Expression and Activity	27161	AGO2
ESR-mediated signaling	27161	AGO2
Transcriptional Regulation by MECP2	27161	AGO2
Intracellular signaling by second messengers	27161	AGO2
Signaling by Nuclear Receptors	27161	AGO2
Estrogen-dependent gene expression	27161	AGO2
Regulation of MECP2 expression and activity	27161	AGO2
NR1H2 and NR1H3-mediated signaling	27161	AGO2
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	27161	AGO2
Neurotransmitter release cycle	27163	NAAA
Transmission across Chemical Synapses	27163	NAAA
Neurotransmitter release cycle	27165	GLS2
Transmission across Chemical Synapses	27165	GLS2
Glutamate Neurotransmitter Release Cycle	27165	GLS2
Transcriptional Regulation by TP53	27165	GLS2
TP53 Regulates Metabolic Genes	27165	GLS2
Metabolism of amino acids and derivatives	27165	GLS2
Glutamate and glutamine metabolism	27165	GLS2
Transcriptional Regulation by TP53	27166	PRELID1
TP53 Regulates Transcription of Cell Death Genes	27166	PRELID1
Glycosphingolipid metabolism	2717	GLA
Sphingolipid metabolism	2717	GLA
Neutrophil degranulation	2717	GLA
Transport of bile salts and organic acids, metal ions and amine compounds	27173	SLC39A1
SLC-mediated transmembrane transport	27173	SLC39A1
Metal ion SLC transporters	27173	SLC39A1
Zinc transporters	27173	SLC39A1
Centrosome maturation	27175	TUBG2
Recruitment of NuMA to mitotic centrosomes	27175	TUBG2
Mitotic G2-G2/M phases	27175	TUBG2
Mitotic Prometaphase	27175	TUBG2
M Phase	27175	TUBG2
G2/M Transition	27175	TUBG2
Interleukin-1 family signaling	27177	IL36B
Signaling by Interleukins	27177	IL36B
Interleukin-1 family signaling	27178	IL37
Signaling by Interleukins	27178	IL37
Interleukin-37 signaling	27178	IL37
Interleukin-1 family signaling	27179	IL36A
Signaling by Interleukins	27179	IL36A
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	27180	SIGLEC9
Neutrophil degranulation	27180	SIGLEC9
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	27181	SIGLEC8
HIV Life Cycle	27183	VPS4A
Late Phase of HIV Life Cycle	27183	VPS4A
HIV Infection	27183	VPS4A
Mitotic Metaphase and Anaphase	27183	VPS4A
Mitotic Anaphase	27183	VPS4A
M Phase	27183	VPS4A
Endosomal Sorting Complex Required For Transport (ESCRT)	27183	VPS4A
HCMV Infection	27183	VPS4A
HCMV Late Events	27183	VPS4A
Interleukin-17 signaling	27189	IL17C
Signaling by Interleukins	27189	IL17C
Glycosaminoglycan metabolism	2719	GPC3
Heparan sulfate/heparin (HS-GAG) metabolism	2719	GPC3
Chondroitin sulfate/dermatan sulfate metabolism	2719	GPC3
Metabolism of vitamins and cofactors	2719	GPC3
A tetrasaccharide linker sequence is required for GAG synthesis	2719	GPC3
HS-GAG biosynthesis	2719	GPC3
HS-GAG degradation	2719	GPC3
Visual phototransduction	2719	GPC3
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	2719	GPC3
G alpha (i) signalling events	2719	GPC3
Metabolism of fat-soluble vitamins	2719	GPC3
Metabolism of carbohydrates	2719	GPC3
Post-translational protein phosphorylation	2719	GPC3
Retinoid metabolism and transport	2719	GPC3
Class A/1 (Rhodopsin-like receptors)	27198	HCAR1
G alpha (i) signalling events	27198	HCAR1
GPCR ligand binding	27198	HCAR1
Class A/1 (Rhodopsin-like receptors)	27199	OXGR1
G alpha (i) signalling events	27199	OXGR1
GPCR ligand binding	27199	OXGR1
Metabolism of nucleotides	272	AMPD3
Neutrophil degranulation	272	AMPD3
Purine salvage	272	AMPD3
Nucleotide salvage	272	AMPD3
Glycosaminoglycan metabolism	2720	GLB1
Keratan sulfate/keratin metabolism	2720	GLB1
Heparan sulfate/heparin (HS-GAG) metabolism	2720	GLB1
Glycosphingolipid metabolism	2720	GLB1
Keratan sulfate degradation	2720	GLB1
HS-GAG degradation	2720	GLB1
Sphingolipid metabolism	2720	GLB1
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	2720	GLB1
Asparagine N-linked glycosylation	2720	GLB1
Synthesis of substrates in N-glycan biosythesis	2720	GLB1
Neutrophil degranulation	2720	GLB1
Metabolism of carbohydrates	2720	GLB1
Complement cascade	27202	C5AR2
Class A/1 (Rhodopsin-like receptors)	27202	C5AR2
Peptide ligand-binding receptors	27202	C5AR2
GPCR ligand binding	27202	C5AR2
Regulation of Complement cascade	27202	C5AR2
Centrosome maturation	27229	TUBGCP4
Recruitment of NuMA to mitotic centrosomes	27229	TUBGCP4
Mitotic G2-G2/M phases	27229	TUBGCP4
Mitotic Prometaphase	27229	TUBGCP4
M Phase	27229	TUBGCP4
G2/M Transition	27229	TUBGCP4
XBP1(S) activates chaperone genes	27230	SERP1
IRE1alpha activates chaperones	27230	SERP1
Unfolded Protein Response (UPR)	27230	SERP1
Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	27230	SERP1
Nicotinate metabolism	27231	NMRK2
Metabolism of water-soluble vitamins and cofactors	27231	NMRK2
Metabolism of vitamins and cofactors	27231	NMRK2
NRAGE signals death through JNK	27237	ARHGEF16
p75 NTR receptor-mediated signalling	27237	ARHGEF16
Signaling by Rho GTPases	27237	ARHGEF16
Rho GTPase cycle	27237	ARHGEF16
Cell death signalling via NRAGE, NRIF and NADE	27237	ARHGEF16
G alpha (12/13) signalling events	27237	ARHGEF16
Death Receptor Signalling	27237	ARHGEF16
mRNA Splicing - Major Pathway	27238	GPKOW
mRNA Splicing	27238	GPKOW
Processing of Capped Intron-Containing Pre-mRNA	27238	GPKOW
Cilium Assembly	27241	BBS9
Cargo trafficking to the periciliary membrane	27241	BBS9
BBSome-mediated cargo-targeting to cilium	27241	BBS9
PPARA activates gene expression	27242	TNFRSF21
Regulation of lipid metabolism by PPARalpha	27242	TNFRSF21
HIV Life Cycle	27243	CHMP2A
Late Phase of HIV Life Cycle	27243	CHMP2A
HIV Infection	27243	CHMP2A
Macroautophagy	27243	CHMP2A
trans-Golgi Network Vesicle Budding	27243	CHMP2A
Mitotic Metaphase and Anaphase	27243	CHMP2A
Lysosome Vesicle Biogenesis	27243	CHMP2A
Mitotic Anaphase	27243	CHMP2A
M Phase	27243	CHMP2A
Endosomal Sorting Complex Required For Transport (ESCRT)	27243	CHMP2A
HCMV Infection	27243	CHMP2A
HCMV Late Events	27243	CHMP2A
Late endosomal microautophagy	27243	CHMP2A
Transcriptional Regulation by TP53	27244	SESN1
TP53 Regulates Metabolic Genes	27244	SESN1
Amino acids regulate mTORC1	27244	SESN1
Antigen processing: Ubiquitination & Proteasome degradation	27246	RNF115
Class I MHC mediated antigen processing & presentation	27246	RNF115
ABC-family proteins mediated transport	27248	ERLEC1
Hedgehog ligand biogenesis	27248	ERLEC1
Signaling by Hedgehog	27248	ERLEC1
Diseases of signal transduction by growth factor receptors and second messengers	27248	ERLEC1
Cobalamin (Cbl, vitamin B12) transport and metabolism	27249	MMADHC
Metabolism of water-soluble vitamins and cofactors	27249	MMADHC
Metabolism of vitamins and cofactors	27249	MMADHC
Interleukin-12 family signaling	27250	PDCD4
Signaling by Interleukins	27250	PDCD4
Interleukin-12 signaling	27250	PDCD4
Neddylation	27252	KLHL20
Antigen processing: Ubiquitination & Proteasome degradation	27252	KLHL20
Class I MHC mediated antigen processing & presentation	27252	KLHL20
L1CAM interactions	27255	CNTN6
Deadenylation-dependent mRNA decay	27257	LSM1
mRNA decay by 5' to 3' exoribonuclease	27257	LSM1
Deadenylation-dependent mRNA decay	27258	LSM3
mRNA decay by 5' to 3' exoribonuclease	27258	LSM3
mRNA Splicing - Major Pathway	27258	LSM3
mRNA Splicing	27258	LSM3
Processing of Capped Intron-Containing Pre-mRNA	27258	LSM3
Phase II - Conjugation of compounds	27284	SULT1B1
Cytosolic sulfonation of small molecules	27284	SULT1B1
Biological oxidations	27284	SULT1B1
Senescence-Associated Secretory Phenotype (SASP)	27287	VENTX
Cellular Senescence	27287	VENTX
Transcriptional Regulation by VENTX	27287	VENTX
Semaphorin interactions	27289	RND1
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion	27289	RND1
Sema4D in semaphorin signaling	27289	RND1
Phase II - Conjugation of compounds	2729	GCLC
Glutathione conjugation	2729	GCLC
Glutathione synthesis and recycling	2729	GCLC
Biological oxidations	2729	GCLC
rRNA modification in the nucleus and cytosol	27292	DIMT1
rRNA processing	27292	DIMT1
rRNA processing in the nucleus and cytosol	27292	DIMT1
Cytosolic sensors of pathogen-associated DNA	27297	CRCP
RNA Polymerase III Chain Elongation	27297	CRCP
RNA Polymerase III Transcription Termination	27297	CRCP
RNA Polymerase III Transcription	27297	CRCP
RNA Polymerase III Abortive And Retractive Initiation	27297	CRCP
RNA Polymerase III Transcription Initiation	27297	CRCP
RNA Polymerase III Transcription Initiation From Type 1 Promoter	27297	CRCP
RNA Polymerase III Transcription Initiation From Type 2 Promoter	27297	CRCP
RNA Polymerase III Transcription Initiation From Type 3 Promoter	27297	CRCP
Clathrin-mediated endocytosis	273	AMPH
Phase II - Conjugation of compounds	2730	GCLM
Glutathione conjugation	2730	GCLM
Glutathione synthesis and recycling	2730	GCLM
Biological oxidations	2730	GCLM
Elastic fibre formation	27302	BMP10
Signaling by BMP	27302	BMP10
Molecules associated with elastic fibres	27302	BMP10
Signaling by TGF-beta family members	27302	BMP10
Metabolism of water-soluble vitamins and cofactors	27304	MOCS3
Metabolism of vitamins and cofactors	27304	MOCS3
Phase II - Conjugation of compounds	27306	HPGDS
Glutathione conjugation	27306	HPGDS
Biological oxidations	27306	HPGDS
Arachidonic acid metabolism	27306	HPGDS
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	27306	HPGDS
Fatty acid metabolism	27306	HPGDS
Glyoxylate metabolism and glycine degradation	2731	GLDC
Metabolism of amino acids and derivatives	2731	GLDC
Intra-Golgi traffic	27314	RAB30
Intra-Golgi and retrograde Golgi-to-ER traffic	27314	RAB30
RAB geranylgeranylation	27314	RAB30
mRNA Splicing - Major Pathway	27316	RBMX
mRNA Splicing	27316	RBMX
Processing of Capped Intron-Containing Pre-mRNA	27316	RBMX
PIP3 activates AKT signaling	27327	TNRC6A
Signaling by NOTCH	27327	TNRC6A
Pre-NOTCH Transcription and Translation	27327	TNRC6A
Pre-NOTCH Expression and Processing	27327	TNRC6A
Signaling by WNT	27327	TNRC6A
Gene Silencing by RNA	27327	TNRC6A
Oxidative Stress Induced Senescence	27327	TNRC6A
Cellular Senescence	27327	TNRC6A
Oncogene Induced Senescence	27327	TNRC6A
Transcriptional Regulation by TP53	27327	TNRC6A
Beta-catenin independent WNT signaling	27327	TNRC6A
Ca2+ pathway	27327	TNRC6A
Transcriptional regulation by small RNAs	27327	TNRC6A
TP53 Regulates Metabolic Genes	27327	TNRC6A
MAPK family signaling cascades	27327	TNRC6A
MAPK6/MAPK4 signaling	27327	TNRC6A
PTEN Regulation	27327	TNRC6A
Transcriptional Regulation by VENTX	27327	TNRC6A
Transcriptional regulation by RUNX1	27327	TNRC6A
Regulation of RUNX1 Expression and Activity	27327	TNRC6A
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	27327	TNRC6A
ESR-mediated signaling	27327	TNRC6A
Transcriptional Regulation by MECP2	27327	TNRC6A
Intracellular signaling by second messengers	27327	TNRC6A
Signaling by Nuclear Receptors	27327	TNRC6A
Estrogen-dependent gene expression	27327	TNRC6A
Regulation of MECP2 expression and activity	27327	TNRC6A
NR1H2 and NR1H3-mediated signaling	27327	TNRC6A
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux	27327	TNRC6A
Plasma lipoprotein assembly, remodeling, and clearance	27329	ANGPTL3
Assembly of active LPL and LIPC lipase complexes	27329	ANGPTL3
Plasma lipoprotein remodeling	27329	ANGPTL3
Signaling by Nuclear Receptors	27329	ANGPTL3
NR1H2 and NR1H3-mediated signaling	27329	ANGPTL3
Transport of Mature mRNA derived from an Intron-Containing Transcript	2733	GLE1
Transport of Mature Transcript to Cytoplasm	2733	GLE1
Processing of Capped Intron-Containing Pre-mRNA	2733	GLE1
Neurotransmitter receptors and postsynaptic signal transmission	27330	RPS6KA6
Transmission across Chemical Synapses	27330	RPS6KA6
L1CAM interactions	27330	RPS6KA6
Recycling pathway of L1	27330	RPS6KA6
Post NMDA receptor activation events	27330	RPS6KA6
Activation of NMDA receptors and postsynaptic events	27330	RPS6KA6
Transcriptional regulation of white adipocyte differentiation	27332	ZNF638
Intra-Golgi traffic	27333	GOLIM4
Intra-Golgi and retrograde Golgi-to-ER traffic	27333	GOLIM4
Class A/1 (Rhodopsin-like receptors)	27334	P2RY10
G alpha (q) signalling events	27334	P2RY10
Nucleotide-like (purinergic) receptors	27334	P2RY10
GPCR ligand binding	27334	P2RY10
L13a-mediated translational silencing of Ceruloplasmin expression	27335	EIF3K
Eukaryotic Translation Initiation	27335	EIF3K
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	27335	EIF3K
Formation of a pool of free 40S subunits	27335	EIF3K
Formation of the ternary complex, and subsequently, the 43S complex	27335	EIF3K
Ribosomal scanning and start codon recognition	27335	EIF3K
GTP hydrolysis and joining of the 60S ribosomal subunit	27335	EIF3K
Cap-dependent Translation Initiation	27335	EIF3K
Translation	27335	EIF3K
Protein ubiquitination	27338	UBE2S
Synthesis of active ubiquitin: roles of E1 and E2 enzymes	27338	UBE2S
Antigen processing: Ubiquitination & Proteasome degradation	27338	UBE2S
Class I MHC mediated antigen processing & presentation	27338	UBE2S
Nucleotide Excision Repair	27339	PRPF19
Formation of TC-NER Pre-Incision Complex	27339	PRPF19
Transcription-Coupled Nucleotide Excision Repair (TC-NER)	27339	PRPF19
Dual incision in TC-NER	27339	PRPF19
Gap-filling DNA repair synthesis and ligation in TC-NER	27339	PRPF19
mRNA Splicing - Major Pathway	27339	PRPF19
mRNA Splicing	27339	PRPF19
Processing of Capped Intron-Containing Pre-mRNA	27339	PRPF19
Cell surface interactions at the vascular wall	2734	GLG1
rRNA modification in the nucleus and cytosol	27340	UTP20
Major pathway of rRNA processing in the nucleolus and cytosol	27340	UTP20
rRNA processing	27340	UTP20
rRNA processing in the nucleus and cytosol	27340	UTP20
rRNA modification in the nucleus and cytosol	27341	RRP7A
Major pathway of rRNA processing in the nucleolus and cytosol	27341	RRP7A
rRNA processing	27341	RRP7A
rRNA processing in the nucleus and cytosol	27341	RRP7A
TBC/RABGAPs	27342	RABGEF1
RAB GEFs exchange GTP for GDP on RABs	27342	RABGEF1
Rab regulation of trafficking	27342	RABGEF1
DNA Double-Strand Break Repair	27343	POLL
Nonhomologous End-Joining (NHEJ)	27343	POLL
Potassium Channels	27345	KCNMB4
Nitric oxide stimulates guanylate cyclase	27345	KCNMB4
Platelet homeostasis	27345	KCNMB4
cGMP effects	27345	KCNMB4
Cargo recognition for clathrin-mediated endocytosis	27348	TOR1B
Clathrin-mediated endocytosis	27348	TOR1B
Mitochondrial Fatty Acid Beta-Oxidation	27349	MCAT
Fatty acid metabolism	27349	MCAT
Signaling by Hedgehog	2735	GLI1
Degradation of GLI1 by the proteasome	2735	GLI1
Hedgehog 'off' state	2735	GLI1
Hedgehog 'on' state	2735	GLI1
mRNA Editing	27350	APOBEC3C
Signaling by Hedgehog	2736	GLI2
Degradation of GLI2 by the proteasome	2736	GLI2
Hedgehog 'off' state	2736	GLI2
Hedgehog 'on' state	2736	GLI2
Transcriptional regulation by RUNX2	2736	GLI2
RUNX2 regulates bone development	2736	GLI2
Signaling by Hedgehog	2737	GLI3
GLI3 is processed to GLI3R by the proteasome	2737	GLI3
Hedgehog 'off' state	2737	GLI3
Hedgehog 'on' state	2737	GLI3
Transcriptional regulation by RUNX2	2737	GLI3
RUNX2 regulates bone development	2737	GLI3
The citric acid (TCA) cycle and respiratory electron transport	2739	GLO1
Pyruvate metabolism	2739	GLO1
Pyruvate metabolism and Citric Acid (TCA) cycle	2739	GLO1
Clathrin-mediated endocytosis	274	BIN1
Integration of energy metabolism	2740	GLP1R
Class B/2 (Secretin family receptors)	2740	GLP1R
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	2740	GLP1R
Glucagon-type ligand receptors	2740	GLP1R
Regulation of insulin secretion	2740	GLP1R
GPCR ligand binding	2740	GLP1R
Leishmania infection	2740	GLP1R
Anti-inflammatory response favouring Leishmania parasite infection	2740	GLP1R
Leishmania parasite growth and survival	2740	GLP1R
Neurotransmitter receptors and postsynaptic signal transmission	2741	GLRA1
Transmission across Chemical Synapses	2741	GLRA1
Neurotransmitter receptors and postsynaptic signal transmission	2742	GLRA2
Transmission across Chemical Synapses	2742	GLRA2
Neurotransmitter receptors and postsynaptic signal transmission	2743	GLRB
Transmission across Chemical Synapses	2743	GLRB
Phase II - Conjugation of compounds	27430	MAT2B
Methylation	27430	MAT2B
Biological oxidations	27430	MAT2B
Deubiquitination	27430	MAT2B
Ub-specific processing proteases	27430	MAT2B
DNA Double-Strand Break Repair	27434	POLM
Nonhomologous End-Joining (NHEJ)	27434	POLM
Mitotic Prometaphase	27436	EML4
M Phase	27436	EML4
EML4 and NUDC in mitotic spindle formation	27436	EML4
Neurotransmitter release cycle	2744	GLS
Transmission across Chemical Synapses	2744	GLS
Glutamate Neurotransmitter Release Cycle	2744	GLS
Transcriptional Regulation by TP53	2744	GLS
TP53 Regulates Metabolic Genes	2744	GLS
Metabolism of amino acids and derivatives	2744	GLS
Glutamate and glutamine metabolism	2744	GLS
Metabolism of nucleotides	2745	GLRX
Interconversion of nucleotide di- and triphosphates	2745	GLRX
Mitochondrial biogenesis	2746	GLUD1
Transcriptional activation of mitochondrial biogenesis	2746	GLUD1
Metabolism of amino acids and derivatives	2746	GLUD1
Glutamate and glutamine metabolism	2746	GLUD1
Mitochondrial biogenesis	2747	GLUD2
Transcriptional activation of mitochondrial biogenesis	2747	GLUD2
Metabolism of amino acids and derivatives	2747	GLUD2
Glutamate and glutamine metabolism	2747	GLUD2
Glyoxylate metabolism and glycine degradation	275	AMT
Metabolism of amino acids and derivatives	275	AMT
Transmission across Chemical Synapses	2752	GLUL
Metabolism of amino acids and derivatives	2752	GLUL
Glutamate and glutamine metabolism	2752	GLUL
Digestion of dietary carbohydrate	276	AMY1A
Digestion	276	AMY1A
Glycosphingolipid metabolism	2760	GM2A
Sphingolipid metabolism	2760	GM2A
Neutrophil degranulation	2760	GM2A
Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	2762	GMDS
Asparagine N-linked glycosylation	2762	GMDS
Synthesis of substrates in N-glycan biosythesis	2762	GMDS
Metabolism of nucleotides	2766	GMPR
Purine salvage	2766	GMPR
Nucleotide salvage	2766	GMPR
Integration of energy metabolism	2767	GNA11
Signal amplification	2767	GNA11
Acetylcholine regulates insulin secretion	2767	GNA11
Free fatty acids regulate insulin secretion	2767	GNA11
G alpha (q) signalling events	2767	GNA11
ADP signalling through P2Y purinoceptor 1	2767	GNA11
Regulation of insulin secretion	2767	GNA11
Thromboxane signalling through TP receptor	2767	GNA11
Thrombin signalling through proteinase activated receptors (PARs)	2767	GNA11
Platelet activation, signaling and aggregation	2767	GNA11
G alpha (12/13) signalling events	2768	GNA12
Thrombin signalling through proteinase activated receptors (PARs)	2768	GNA12
Platelet activation, signaling and aggregation	2768	GNA12
Integration of energy metabolism	2769	GNA15
Signal amplification	2769	GNA15
Acetylcholine regulates insulin secretion	2769	GNA15
Free fatty acids regulate insulin secretion	2769	GNA15
G alpha (q) signalling events	2769	GNA15
ADP signalling through P2Y purinoceptor 1	2769	GNA15
Regulation of insulin secretion	2769	GNA15
Thromboxane signalling through TP receptor	2769	GNA15
Thrombin signalling through proteinase activated receptors (PARs)	2769	GNA15
Platelet activation, signaling and aggregation	2769	GNA15
Digestion of dietary carbohydrate	277	AMY1B
Digestion	277	AMY1B
Opioid Signalling	2770	GNAI1
Neurotransmitter receptors and postsynaptic signal transmission	2770	GNAI1
Transmission across Chemical Synapses	2770	GNAI1
Integration of energy metabolism	2770	GNAI1
Chaperonin-mediated protein folding	2770	GNAI1
Protein folding	2770	GNAI1
ADP signalling through P2Y purinoceptor 12	2770	GNAI1
Signal amplification	2770	GNAI1
Adrenaline,noradrenaline inhibits insulin secretion	2770	GNAI1
G alpha (i) signalling events	2770	GNAI1
G alpha (z) signalling events	2770	GNAI1
Regulation of insulin secretion	2770	GNAI1
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	2770	GNAI1
Platelet activation, signaling and aggregation	2770	GNAI1
ESR-mediated signaling	2770	GNAI1
Signaling by Nuclear Receptors	2770	GNAI1
Extra-nuclear estrogen signaling	2770	GNAI1
Leishmania infection	2770	GNAI1
Anti-inflammatory response favouring Leishmania parasite infection	2770	GNAI1
Leishmania parasite growth and survival	2770	GNAI1
GABA receptor activation	2770	GNAI1
GABA B receptor activation	2770	GNAI1
Opioid Signalling	2771	GNAI2
Neurotransmitter receptors and postsynaptic signal transmission	2771	GNAI2
Transmission across Chemical Synapses	2771	GNAI2
Integration of energy metabolism	2771	GNAI2
Chaperonin-mediated protein folding	2771	GNAI2
Protein folding	2771	GNAI2
ADP signalling through P2Y purinoceptor 12	2771	GNAI2
Signal amplification	2771	GNAI2
Adrenaline,noradrenaline inhibits insulin secretion	2771	GNAI2
G alpha (i) signalling events	2771	GNAI2
G alpha (z) signalling events	2771	GNAI2
Regulation of insulin secretion	2771	GNAI2
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	2771	GNAI2
Platelet activation, signaling and aggregation	2771	GNAI2
ESR-mediated signaling	2771	GNAI2
Signaling by Nuclear Receptors	2771	GNAI2
Extra-nuclear estrogen signaling	2771	GNAI2
Leishmania infection	2771	GNAI2
Anti-inflammatory response favouring Leishmania parasite infection	2771	GNAI2
Leishmania parasite growth and survival	2771	GNAI2
GABA receptor activation	2771	GNAI2
GABA B receptor activation	2771	GNAI2
Opioid Signalling	2773	GNAI3
Neurotransmitter receptors and postsynaptic signal transmission	2773	GNAI3
Transmission across Chemical Synapses	2773	GNAI3
Chaperonin-mediated protein folding	2773	GNAI3
Protein folding	2773	GNAI3
ADP signalling through P2Y purinoceptor 12	2773	GNAI3
Signal amplification	2773	GNAI3
G alpha (i) signalling events	2773	GNAI3
G alpha (z) signalling events	2773	GNAI3
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	2773	GNAI3
Platelet activation, signaling and aggregation	2773	GNAI3
ESR-mediated signaling	2773	GNAI3
Signaling by Nuclear Receptors	2773	GNAI3
Extra-nuclear estrogen signaling	2773	GNAI3
Leishmania infection	2773	GNAI3
Anti-inflammatory response favouring Leishmania parasite infection	2773	GNAI3
Leishmania parasite growth and survival	2773	GNAI3
GABA receptor activation	2773	GNAI3
GABA B receptor activation	2773	GNAI3
Opioid Signalling	2774	GNAL
Neurotransmitter receptors and postsynaptic signal transmission	2774	GNAL
Transmission across Chemical Synapses	2774	GNAL
Olfactory Signaling Pathway	2774	GNAL
G alpha (i) signalling events	2774	GNAL
GABA receptor activation	2774	GNAL
GABA B receptor activation	2774	GNAL
Opioid Signalling	2775	GNAO1
Signaling by WNT	2775	GNAO1
Beta-catenin independent WNT signaling	2775	GNAO1
Chaperonin-mediated protein folding	2775	GNAO1
Protein folding	2775	GNAO1
Ca2+ pathway	2775	GNAO1
G alpha (i) signalling events	2775	GNAO1
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	2775	GNAO1
Integration of energy metabolism	2776	GNAQ
Signal amplification	2776	GNAQ
Acetylcholine regulates insulin secretion	2776	GNAQ
Free fatty acids regulate insulin secretion	2776	GNAQ
G alpha (q) signalling events	2776	GNAQ
ADP signalling through P2Y purinoceptor 1	2776	GNAQ
Regulation of insulin secretion	2776	GNAQ
Thromboxane signalling through TP receptor	2776	GNAQ
Thrombin signalling through proteinase activated receptors (PARs)	2776	GNAQ
Platelet activation, signaling and aggregation	2776	GNAQ
Glucagon signaling in metabolic regulation	2778	GNAS
Integration of energy metabolism	2778	GNAS
PKA activation in glucagon signalling	2778	GNAS
Class B/2 (Secretin family receptors)	2778	GNAS
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	2778	GNAS
Prostacyclin signalling through prostacyclin receptor	2778	GNAS
Platelet homeostasis	2778	GNAS
G alpha (i) signalling events	2778	GNAS
G alpha (z) signalling events	2778	GNAS
Glucagon-type ligand receptors	2778	GNAS
Regulation of insulin secretion	2778	GNAS
Vasopressin regulates renal water homeostasis via Aquaporins	2778	GNAS
Aquaporin-mediated transport	2778	GNAS
GPCR ligand binding	2778	GNAS
Signaling by Hedgehog	2778	GNAS
Hedgehog 'off' state	2778	GNAS
Leishmania infection	2778	GNAS
Anti-inflammatory response favouring Leishmania parasite infection	2778	GNAS
Leishmania parasite growth and survival	2778	GNAS
Opioid Signalling	2779	GNAT1
Visual phototransduction	2779	GNAT1
Chaperonin-mediated protein folding	2779	GNAT1
Protein folding	2779	GNAT1
G alpha (i) signalling events	2779	GNAT1
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	2779	GNAT1
Digestion of dietary carbohydrate	278	AMY1C
Digestion	278	AMY1C
Opioid Signalling	2780	GNAT2
Signaling by WNT	2780	GNAT2
Beta-catenin independent WNT signaling	2780	GNAT2
Chaperonin-mediated protein folding	2780	GNAT2
Protein folding	2780	GNAT2
Ca2+ pathway	2780	GNAT2
G alpha (i) signalling events	2780	GNAT2
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	2780	GNAT2
Opioid Signalling	2781	GNAZ
Chaperonin-mediated protein folding	2781	GNAZ
Protein folding	2781	GNAZ
G alpha (i) signalling events	2781	GNAZ
G alpha (z) signalling events	2781	GNAZ
Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	2781	GNAZ
Leishmania infection	2781	GNAZ
Anti-inflammatory response favouring Leishmania parasite infection	2781	GNAZ
Leishmania parasite growth and survival	2781	GNAZ
Opioid Signalling	2782	GNB1
Neurotransmitter receptors and postsynaptic signal transmission	2782	GNB1
Transmission across Chemical Synapses	2782	GNB1
Activation of G protein gated Potassium channels	2782	GNB1
G protein gated Potassium channels	2782	GNB1
Inwardly rectifying K+ channels	2782	GNB1
Potassium Channels	2782	GNB1
Glucagon signaling in metabolic regulation	2782	GNB1
Integration of energy metabolism	2782	GNB1
Signaling by WNT	2782	GNB1
Visual phototransduction	2782	GNB1
Class B/2 (Secretin family receptors)	2782	GNB1
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	2782	GNB1
Olfactory Signaling Pathway	2782	GNB1
Beta-catenin independent WNT signaling	2782	GNB1
Chaperonin-mediated protein folding	2782	GNB1
Protein folding	2782	GNB1
ADP signalling through P2Y purinoceptor 12	2782	GNB1
G beta:gamma signalling through PI3Kgamma	2782	GNB1
Signal amplification	2782	GNB1
Prostacyclin signalling through prostacyclin receptor	2782	GNB1
G-protein beta:gamma signalling	2782	GNB1
Adrenaline,noradrenaline inhibits insulin secretion	2782	GNB1
Ca2+ pathway	2782	GNB1
G alpha (q) signalling events	2782	GNB1
G alpha (12/13) signalling events	2782	GNB1
G beta:gamma signalling through PLC beta	2782	GNB1
Platelet homeostasis	2782	GNB1
ADP signalling through P2Y purinoceptor 1	2782	GNB1
G alpha (i) signalling events	2782	GNB1
G alpha (z) signalling events	2782	GNB1
Glucagon-type ligand receptors	2782	GNB1
Regulation of insulin secretion	2782	GNB1
Thromboxane signalling through TP receptor	2782	GNB1
Vasopressin regulates renal water homeostasis via Aquaporins	2782	GNB1
